CustNum,Total,0,1,2,3,4,5,6,7,8,9
1.000,67,0.000,0.000,0.090,0.090,0.209,0.060,0.194,0.269,0.030,0.060
3.000,248,0.012,0.016,0.141,0.069,0.069,0.056,0.246,0.161,0.149,0.081
15.000,117,0.000,0.000,0.094,0.009,0.214,0.017,0.231,0.256,0.179,0.000
22.000,51,0.000,0.000,0.020,0.020,0.196,0.000,0.078,0.059,0.627,0.000
27.000,198,0.005,0.040,0.076,0.025,0.237,0.000,0.116,0.222,0.273,0.005
37.000,63,0.016,0.000,0.079,0.016,0.143,0.016,0.143,0.175,0.349,0.063
40.000,182,0.011,0.000,0.044,0.005,0.258,0.126,0.137,0.203,0.187,0.027
42.000,148,0.000,0.047,0.223,0.034,0.196,0.034,0.176,0.122,0.162,0.007
68.000,307,0.007,0.003,0.065,0.023,0.306,0.016,0.166,0.052,0.215,0.147
86.000,58,0.000,0.000,0.086,0.000,0.052,0.000,0.000,0.000,0.845,0.017
91.000,58,0.000,0.000,0.086,0.000,0.190,0.000,0.293,0.207,0.155,0.069
102.000,67,0.000,0.000,0.000,0.000,0.224,0.030,0.134,0.119,0.478,0.015
116.000,89,0.000,0.000,0.056,0.022,0.213,0.056,0.034,0.337,0.270,0.011
117.000,103,0.068,0.000,0.068,0.019,0.340,0.010,0.029,0.165,0.301,0.000
118.000,125,0.048,0.016,0.104,0.048,0.264,0.016,0.056,0.240,0.160,0.048
121.000,128,0.000,0.016,0.016,0.000,0.656,0.023,0.070,0.070,0.117,0.031
133.000,78,0.000,0.000,0.013,0.000,0.282,0.013,0.244,0.179,0.167,0.103
137.000,109,0.018,0.018,0.064,0.028,0.312,0.018,0.119,0.211,0.211,0.000
139.000,503,0.000,0.026,0.076,0.018,0.318,0.040,0.105,0.195,0.189,0.034
156.000,231,0.000,0.039,0.134,0.000,0.130,0.017,0.320,0.147,0.160,0.052
183.000,145,0.007,0.007,0.076,0.034,0.179,0.021,0.124,0.069,0.469,0.014
203.000,286,0.000,0.000,0.073,0.031,0.147,0.000,0.434,0.182,0.129,0.003
222.000,79,0.000,0.000,0.114,0.228,0.228,0.038,0.025,0.038,0.304,0.025
237.000,153,0.000,0.000,0.124,0.013,0.261,0.046,0.111,0.105,0.307,0.033
266.000,51,0.000,0.000,0.059,0.000,0.059,0.059,0.431,0.098,0.275,0.020
282.000,262,0.000,0.076,0.038,0.011,0.282,0.118,0.076,0.237,0.156,0.004
289.000,152,0.000,0.020,0.099,0.007,0.316,0.007,0.191,0.079,0.243,0.039
290.000,114,0.000,0.000,0.044,0.009,0.009,0.018,0.430,0.465,0.018,0.009
300.000,156,0.006,0.006,0.096,0.071,0.288,0.006,0.083,0.179,0.231,0.032
304.000,55,0.000,0.000,0.055,0.000,0.400,0.036,0.000,0.036,0.473,0.000
305.000,108,0.000,0.028,0.065,0.009,0.315,0.000,0.185,0.157,0.157,0.083
319.000,86,0.035,0.000,0.140,0.000,0.035,0.023,0.279,0.058,0.419,0.012
336.000,219,0.000,0.009,0.032,0.014,0.438,0.146,0.119,0.105,0.091,0.046
364.000,261,0.011,0.023,0.050,0.004,0.360,0.084,0.107,0.157,0.188,0.015
385.000,687,0.009,0.006,0.100,0.039,0.371,0.033,0.092,0.130,0.163,0.057
426.000,134,0.007,0.000,0.097,0.015,0.142,0.149,0.127,0.336,0.104,0.022
428.000,53,0.000,0.019,0.057,0.000,0.170,0.094,0.283,0.132,0.208,0.038
447.000,78,0.000,0.000,0.051,0.026,0.231,0.090,0.064,0.244,0.231,0.064
448.000,84,0.000,0.000,0.083,0.024,0.250,0.024,0.048,0.238,0.310,0.024
463.000,94,0.000,0.000,0.011,0.000,0.223,0.021,0.043,0.309,0.330,0.064
466.000,153,0.000,0.026,0.085,0.007,0.268,0.026,0.105,0.144,0.288,0.052
467.000,65,0.031,0.000,0.062,0.015,0.200,0.031,0.092,0.123,0.415,0.031
469.000,439,0.023,0.036,0.021,0.011,0.255,0.066,0.103,0.214,0.253,0.018
472.000,162,0.000,0.000,0.056,0.037,0.327,0.093,0.130,0.148,0.185,0.025
477.000,73,0.000,0.014,0.192,0.041,0.315,0.082,0.123,0.110,0.041,0.082
480.000,56,0.000,0.000,0.125,0.000,0.125,0.000,0.036,0.250,0.429,0.036
484.000,131,0.008,0.000,0.076,0.008,0.267,0.000,0.183,0.267,0.191,0.000
486.000,142,0.028,0.035,0.070,0.028,0.387,0.063,0.007,0.169,0.190,0.021
495.000,277,0.000,0.007,0.054,0.014,0.372,0.040,0.076,0.195,0.213,0.029
518.000,103,0.000,0.000,0.010,0.000,0.184,0.010,0.000,0.058,0.718,0.019
519.000,141,0.000,0.000,0.028,0.000,0.241,0.050,0.113,0.184,0.184,0.199
522.000,119,0.000,0.000,0.101,0.076,0.429,0.092,0.109,0.101,0.059,0.034
527.000,56,0.000,0.000,0.071,0.107,0.196,0.054,0.089,0.214,0.143,0.125
530.000,152,0.000,0.000,0.046,0.020,0.184,0.026,0.158,0.178,0.289,0.099
536.000,112,0.000,0.000,0.116,0.000,0.277,0.143,0.161,0.143,0.125,0.036
537.000,57,0.000,0.000,0.123,0.000,0.175,0.053,0.246,0.158,0.228,0.018
539.000,66,0.000,0.000,0.061,0.030,0.273,0.000,0.121,0.182,0.318,0.015
560.000,150,0.000,0.000,0.100,0.027,0.267,0.033,0.213,0.140,0.180,0.040
563.000,54,0.000,0.019,0.037,0.037,0.463,0.019,0.019,0.074,0.278,0.056
564.000,67,0.000,0.000,0.000,0.000,0.269,0.000,0.045,0.030,0.627,0.030
566.000,110,0.027,0.000,0.045,0.027,0.455,0.045,0.073,0.209,0.073,0.045
579.000,79,0.000,0.000,0.025,0.013,0.177,0.101,0.228,0.266,0.177,0.013
580.000,61,0.000,0.000,0.033,0.016,0.410,0.033,0.066,0.098,0.328,0.016
581.000,53,0.000,0.000,0.000,0.000,0.113,0.038,0.113,0.264,0.453,0.019
582.000,65,0.000,0.000,0.169,0.000,0.400,0.046,0.108,0.123,0.123,0.031
